"","genus_species","vernacular.name","family","dispersal_mode","fruit_color","fruit_length","fruit_width","seed_size","average_height","leaf_area_mm2","wood_density","spinescence","growth_rate_.regeneration_strategy..","longevity"
"1","rhodocolea_racemosa","Zahatavika","Bignoniaceae","lemur","",NA,NA,"",15.9,"535.21",0.66,"none","slow","25 - 50"
"2","nuxia_capitata","Lambinana","Scrophulariaceae","bird","",NA,NA,"",15.58,"1943.12",0.58,"none","slow","< 25"
"3","nuxia_coricea","Lambinanala","Scrophulariaceae","bird","",NA,NA,"",13.05,"988.23",0.6,"none","slow","< 25"
"4","nuxia_pachyphylla","Lambinana ranjonangalampona","Scrophulariaceae","lemur","green yellow",14.35,20.42,"small",16.06,"1721.18",0.49,"none","slow","< 25"
"5","noronhia_grandifolia","solaitra mena","Oleaceae","mixed","purple",24.4,21.7,"large",11.67,"6391.49",0.61,"none","slow","25 - 50"
"6","noronhia_incurvifolius","solaitra fotsy","Oleaceae","lemur","yellow",19.53,15,"large",11.14,"731.40",0.5,"none","slow","25 - 50"
"7","noronhia_introversa","solaitra","Oleaceae","lemur","yellow",15.52,13.48,"large",11.98,"4770.81",0.48,"none","slow","25 - 50"
"8","petchia_cryptophlebia","Kabokala","Apocynaceae","lemur","",NA,NA,"",10.13,"3869.58",0.45,"none","fast","< 25"
"9","carissa_edulis","Fatsy","Apocynaceae","mixed","green yellow",27.94,27.68,"medium",12.46,"2121.79",0.74,"spines","slow","< 25"
"10","craspidospermum_verticillatum","Vandrika","Apocynaceae","lemur","brown",22.35,9.52,"small",19.97,"11470.25",0.67,"none","fast","25 - 50"
