"label","search_string","species_id","genus","species","taxa"
"Amphispiza bilineata","amphispiza bilineata","AB","Amphispiza","bilineata","Bird"
"Ammospermophilus harrisii","ammospermophilus harrisi","AH","Ammospermophilus","harrisi","Rodent"
"Ammodramus savannarum","ammodramus savannarum","AS","Ammodramus","savannarum","Bird"
"Baiomys taylori","baiomys taylori","BA","Baiomys","taylori","Rodent"
"Campylorhynchus brunneicapillus","campylorhynchus brunneicapillus","CB","Campylorhynchus","brunneicapillus","Bird"
"Calamospiza melanocorys","calamospiza melanocorys","CM","Calamospiza","melanocorys","Bird"
"Callipepla squamata","callipepla squamata","CQ","Callipepla","squamata","Bird"
"Crotalus scutulatus","crotalus scutalatus","CS","Crotalus","scutalatus","Reptile"
"Aspidoscelis tigris","cnemidophorus tigris","CT","Cnemidophorus","tigris","Reptile"
"Aspidoscelis uniparens","cnemidophorus uniparens","CU","Cnemidophorus","uniparens","Reptile"
"Crotalus viridis","crotalus viridis","CV","Crotalus","viridis","Reptile"
"Dipodomys merriami","dipodomys merriami","DM","Dipodomys","merriami","Rodent"
"Dipodomys ordii","dipodomys ordii","DO","Dipodomys","ordii","Rodent"
"Dipodomys spectabilis","dipodomys spectabilis","DS","Dipodomys","spectabilis","Rodent"
NA,"dipodomys sp.","DX","Dipodomys","sp.","Rodent"
"Plestiodon obsoletus","eumeces obsoletus","EO","Eumeces","obsoletus","Reptile"
"Gambelia sila","gambelia silus","GS","Gambelia","silus","Reptile"
"Neotoma albigula","neotoma albigula","NL","Neotoma","albigula","Rodent"
"Geotoga sp.","neotoma sp.","NX","Neotoma","sp.","Rodent"
"Onychomys leucogaster","onychomys leucogaster","OL","Onychomys","leucogaster","Rodent"
"Onychomys torridus","onychomys torridus","OT","Onychomys","torridus","Rodent"
NA,"onychomys sp.","OX","Onychomys","sp.","Rodent"
"Chaetodipus baileyi","chaetodipus baileyi","PB","Chaetodipus","baileyi","Rodent"
"Pipilo chlorurus","pipilo chlorurus","PC","Pipilo","chlorurus","Bird"
"Peromyscus eremicus","peromyscus eremicus","PE","Peromyscus","eremicus","Rodent"
"Perognathus flavus","perognathus flavus","PF","Perognathus","flavus","Rodent"
"Pooecetes gramineus","pooecetes gramineus","PG","Pooecetes","gramineus","Bird"
"Chaetodipus hispidus","perognathus hispidus","PH","Perognathus","hispidus","Rodent"
"Chaetodipus intermedius","chaetodipus intermedius","PI","Chaetodipus","intermedius","Rodent"
"Peromyscus leucopus","peromyscus leucopus","PL","Peromyscus","leucopus","Rodent"
"Peromyscus maniculatus","peromyscus maniculatus","PM","Peromyscus","maniculatus","Rodent"
"Chaetodipus penicillatus","chaetodipus penicillatus","PP","Chaetodipus","penicillatus","Rodent"
"Kieneria fusca","pipilo fuscus","PU","Pipilo","fuscus","Bird"
"Chaetonotus sp.","chaetodipus sp.","PX","Chaetodipus","sp.","Rodent"
"Reithrodontomys fulvescens","reithrodontomys fulvescens","RF","Reithrodontomys","fulvescens","Rodent"
"Reithrodontomys megalotis","reithrodontomys megalotis","RM","Reithrodontomys","megalotis","Rodent"
"Reithrodontomys montanus","reithrodontomys montanus","RO","Reithrodontomys","montanus","Rodent"
"Reithrodontomys","reithrodontomys sp.","RX","Reithrodontomys","sp.","Rodent"
"Sylvilagus audubonii","sylvilagus audubonii","SA","Sylvilagus","audubonii","Rabbit"
"Spizella breweri","spizella breweri","SB","Spizella","breweri","Bird"
"Sceloporus clarkii","sceloporus clarki","SC","Sceloporus","clarki","Reptile"
"Sigmodon fulviventer","sigmodon fulviventer","SF","Sigmodon","fulviventer","Rodent"
"Sigmodon hispidus","sigmodon hispidus","SH","Sigmodon","hispidus","Rodent"
"Sigmodon ochrognathus","sigmodon ochrognathus","SO","Sigmodon","ochrognathus","Rodent"
"Xerospermophilus spilosoma","spermophilus spilosoma","SS","Spermophilus","spilosoma","Rodent"
"Xerospermophilus tereticaudus","spermophilus tereticaudus","ST","Spermophilus","tereticaudus","Rodent"
"Sceloporus undulatus","sceloporus undulatus","SU","Sceloporus","undulatus","Reptile"
NA,"sigmodon sp.","SX","Sigmodon","sp.","Rodent"
NA,"lizard sp.","UL","Lizard","sp.","Reptile"
"Papio sp.","pipilo sp.","UP","Pipilo","sp.","Bird"
"Rodentia sp.","rodent sp.","UR","Rodent","sp.","Rodent"
NA,"sparrow sp.","US","Sparrow","sp.","Bird"
"Zonotrichia leucophrys","zonotrichia leucophrys","ZL","Zonotrichia","leucophrys","Bird"
"Zenaida macroura","zenaida macroura","ZM","Zenaida","macroura","Bird"
